Net recurrent income,$ Total,$ per student,year,school_id,school_name
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to current capital projects,0,0,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Less deductions,0,0,2021,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to debt servicing,0,0,2021,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2021,44714,"Footscray North Primary School, Footscray, VIC"
Less deductions,0,0,2021,44671,"Altona Primary School, Altona, VIC"
Income allocated to debt servicing,0,0,2021,44714,"Footscray North Primary School, Footscray, VIC"
Income allocated to debt servicing,0,0,2021,45475,"University High School, Parkville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45475,"University High School, Parkville, VIC"
Income allocated to current capital projects,0,0,2021,45475,"University High School, Parkville, VIC"
Less deductions,0,0,2021,45475,"University High School, Parkville, VIC"
Total gross income,27381998,16334,2021,45475,"University High School, Parkville, VIC"
Other private sources,1484611,886,2021,45475,"University High School, Parkville, VIC"
"Fees, charges and parent contributions",621796,371,2021,45475,"University High School, Parkville, VIC"
Subtotal,0,0,2021,45475,"University High School, Parkville, VIC"
State / territory government recurring funding,20117450,12000,2021,45475,"University High School, Parkville, VIC"
Total net recurrent income,9262602,15823,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Subtotal,0,0,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to debt servicing,0,0,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to current capital projects,0,0,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Less deductions,0,0,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total gross income,9262602,15823,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Australian government recurrent funding,5158141,3077,2021,45475,"University High School, Parkville, VIC"
Total net recurrent income,27381998,16334,2021,45475,"University High School, Parkville, VIC"
Total net recurrent income,7976782,11577,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Total net recurrent income,22469187,15148,2021,40427,"Williamstown High School, Williamstown, VIC"
Less deductions,0,0,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to current capital projects,0,0,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to debt servicing,0,0,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Subtotal,0,0,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Total net recurrent income,15866767,15902,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Australian government recurrent funding,1119452,2863,2021,52587,"South Melbourne Primary School, Southbank, VIC"
Australian government recurrent funding,4302763,2901,2021,40427,"Williamstown High School, Williamstown, VIC"
State / territory government recurring funding,16375290,11040,2021,40427,"Williamstown High School, Williamstown, VIC"
"Fees, charges and parent contributions",1603021,1081,2021,40427,"Williamstown High School, Williamstown, VIC"
Other private sources,188113,127,2021,40427,"Williamstown High School, Williamstown, VIC"
Total gross income,22469187,15148,2021,40427,"Williamstown High School, Williamstown, VIC"
Less deductions,0,0,2021,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2021,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2021,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44714,"Footscray North Primary School, Footscray, VIC"
Other private sources,97000,166,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total gross income,15866767,15902,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
"Fees, charges and parent contributions",435259,744,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Australian government recurrent funding,1755756,2999,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Subtotal,0,0,2021,44044,"Newport Lakes Primary School, Newport, VIC"
State / territory government recurring funding,3049645,10444,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
"Fees, charges and parent contributions",161287,552,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Other private sources,181254,621,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Total gross income,4200475,14385,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Less deductions,0,0,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Income allocated to current capital projects,0,0,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Income allocated to debt servicing,0,0,2021,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Subtotal,0,0,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Total net recurrent income,4200475,14385,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Australian government recurrent funding,4158652,3219,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
State / territory government recurring funding,16234719,12567,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
"Fees, charges and parent contributions",691167,535,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Other private sources,443216,343,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total gross income,21527754,16664,2021,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to debt servicing,0,0,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2021,44044,"Newport Lakes Primary School, Newport, VIC"
Less deductions,0,0,2021,44044,"Newport Lakes Primary School, Newport, VIC"
Australian government recurrent funding,2842604,13706,2021,45797,"St John's School, Footscray, VIC"
State / territory government recurring funding,671771,3239,2021,45797,"St John's School, Footscray, VIC"
"Fees, charges and parent contributions",335915,1620,2021,45797,"St John's School, Footscray, VIC"
Other private sources,24100,116,2021,45797,"St John's School, Footscray, VIC"
Total gross income,3874390,18681,2021,45797,"St John's School, Footscray, VIC"
Less deductions,268162,1293,2021,45797,"St John's School, Footscray, VIC"
Income allocated to current capital projects,209748,1011,2021,45797,"St John's School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,23372,113,2021,45797,"St John's School, Footscray, VIC"
Income allocated to debt servicing,35042,169,2021,45797,"St John's School, Footscray, VIC"
Subtotal,268162,1293,2021,45797,"St John's School, Footscray, VIC"
Total net recurrent income,3606228,17388,2021,45797,"St John's School, Footscray, VIC"
Australian government recurrent funding,808289,2768,2021,52695,"South Melbourne Park Primary School, Albert Park, VIC"
Australian government recurrent funding,1170843,2209,2021,44044,"Newport Lakes Primary School, Newport, VIC"
State / territory government recurring funding,4584166,8649,2021,44044,"Newport Lakes Primary School, Newport, VIC"
"Fees, charges and parent contributions",332243,627,2021,44044,"Newport Lakes Primary School, Newport, VIC"
Other private sources,98977,187,2021,44044,"Newport Lakes Primary School, Newport, VIC"
Total gross income,6186229,11672,2021,44044,"Newport Lakes Primary School, Newport, VIC"
State / territory government recurring funding,6974588,11914,2021,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Other private sources,304832,306,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Subtotal,0,0,2021,40427,"Williamstown High School, Williamstown, VIC"
State / territory government recurring funding,11517846,11543,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
Total net recurrent income,12437752,14412,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Australian government recurrent funding,1539601,2235,2021,44664,"Footscray West Primary School, West Footscray, VIC"
State / territory government recurring funding,5945763,8630,2021,44664,"Footscray West Primary School, West Footscray, VIC"
"Fees, charges and parent contributions",315206,457,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Other private sources,176212,256,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,7976782,11577,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Less deductions,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to current capital projects,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to debt servicing,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Subtotal,0,0,2021,44664,"Footscray West Primary School, West Footscray, VIC"
Australian government recurrent funding,1200261,2508,2021,44461,"Kensington Primary School, Kensington, VIC"
State / territory government recurring funding,4674154,9766,2021,44461,"Kensington Primary School, Kensington, VIC"
"Fees, charges and parent contributions",136273,285,2021,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,202606,423,2021,44461,"Kensington Primary School, Kensington, VIC"
Total gross income,6213294,12982,2021,44461,"Kensington Primary School, Kensington, VIC"
Less deductions,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to current capital projects,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44461,"Kensington Primary School, Kensington, VIC"
Australian government recurrent funding,2264335,2809,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
"Fees, charges and parent contributions",1061061,1063,2021,45545,"Brunswick Secondary College, Brunswick, VIC"
State / territory government recurring funding,7222780,8959,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
Other private sources,219666,272,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
Subtotal,0,0,2021,44714,"Footscray North Primary School, Footscray, VIC"
Total net recurrent income,6829865,12989,2021,44714,"Footscray North Primary School, Footscray, VIC"
Australian government recurrent funding,2402342,2784,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
State / territory government recurring funding,9515951,11027,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
"Fees, charges and parent contributions",303422,352,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Other private sources,216038,250,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total gross income,12437752,14412,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Less deductions,0,0,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to current capital projects,0,0,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to debt servicing,0,0,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Subtotal,0,0,2021,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total net recurrent income,10032958,12445,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
Subtotal,0,0,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to debt servicing,0,0,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to current capital projects,0,0,2021,44270,"North Melbourne Primary School, North Melbourne, VIC"
